"","text"
"1","can you survive  rooms of cute terror or will you break once the cuteness starts to fade off and youre running for your life from the unspeakable hideous beings that shake and writhe in bowels of this house they wait for you they wait and hunger for meeting you they long to finally meet you and show you how flexible your skin can be after it has soaked in blood will you brave this journey will you set to beat the impossible the insane and the incorporeal"
"2","the latest entry in the sakura series is more actionpacked than ever before sakura clickers is a fastpaced exciting adventure full of content in which you defeat your foes with the power of your mousefearsome foes  the battle never ends as you fight a horde of enemies each one more powerful than the last as they attempt to impede your pathcustomisable characters  as you earn gold from slaying your foes you can purchase and outfit your hero with a variety of costumeshelpful allies  you dont have to face these evils alone as you progress you may also hire a number of allies that are dedicated to assisting you in fighting the evils that threaten the worldalso included is  moans as you defeat the monstersvoice actors creditskitamori ayukanzaki canaritsukumo madokakaneta megumikiritani chouchodoi yukariarikawa manashibui mikikudou mamiiida sachiyasuda mizuho"
"3","free to play shooter about the confrontation of two irreconcilable sides represented by the government military housings and the armed hirelings try your hand at virtual battles with offscale dynamics and hurricane gameplay in the spirit of the classical shooters in the game are available a wide range of maps and several modes level system allows player to open achievements weapons stickers and more"
"4","take the helm of a gigantic capital ship and get ready for battle regular episodes give you new maps and ways to fight  or play v pve or pvp in classic conquest  the high intensity moments of a shooter combine with careful team tactics and positioning as you battle across a multisector mapfractured space is an award winning team game you can choose to play alone with a team of bots to help you with other players against a team of ai or in full pvp new episodes are introduced regularly and are freetoplay though all the legacy episodes and their content packs are also available for purchase and solo playthe game puts you in control of an immense capital ship and there are dozens to unlock and select each ship has its own strengths and weakness and a carefully selected crew can make all the difference in battle battle is what its all about  whether you fight in v conquest against other players or take on the challenges of each new episode your tactics will be put to the testjump into a growing active friendly community fractured space is free to play and we put gameplay first we keep things fair by making sure you cant pay to win and you will need to work to develop your own skills and play as a team to do well regular monthly enhancements to the game keep things fresh and you can keep up to date on our website in discord or on the forums we are also active on facebook twitter and youtube"
"5","counterstrike global offensive cs go expands upon the teambased action gameplay that it pioneered when it was launched  years agocs go features new maps characters weapons and game modes and delivers updated versions of the classic cs content dedust etccounterstrike took the gaming industry by surprise when the unlikely mod became the most played online pc action game in the world almost immediately after its release in august  said doug lombardi at valve for the past  years it has continued to be one of the mostplayed games in the world headline competitive gaming tournaments and selling over  million units worldwide across the franchise cs go promises to expand on cs awardwinning gameplay and deliver it to gamers on the pc as well as the next gen consoles and the mac"
"6","the mostplayed game on steamevery day millions of players worldwide enter battle as one of over a hundred dota heroes and no matter if its their th hour of play or th theres always something new to discover with regular updates that ensure a constant evolution of gameplay features and heroes dota  has truly taken on a life of its ownone battlefield infinite possibilitieswhen it comes to diversity of heroes abilities and powerful items dota boasts an endless arrayno two games are the same any hero can fill multiple roles and theres an abundance of items to help meet the needs of each game dota doesnt provide limitations on how to play it empowers you to express your own styleall heroes are freecompetitive balance is dotas crown jewel and to ensure everyone is playing on an even field the core content of the gamelike the vast pool of heroesis available to all players fans can collect cosmetics for heroes and fun addons for the world they inhabit but everything you need to play is already included before you join your first matchbring your friends and party updota is deep and constantly evolving but its never too late to join learn the ropes playing coop vs bots sharpen your skills in the hero demo mode jump into the behavior and skillbased matchmaking system that ensures youll be matched with the right players each game"
"7","you are an exile struggling to survive on the dark continent of wraeclast as you fight to earn power that will allow you to exact your revenge against those who wronged you created by hardcore gamers path of exile is an online action rpg set in a dark fantasy world with a focus on visceral action combat powerful items and deep character customization path of exile is completely free and will never be paytowinkey featuresfreedom power revengebanished for your misdeeds to the dark brutal world of wraeclast you play as the duelist witch ranger templar marauder shadow or the scion class from forsaken shores through to the ruined city of sarn explore wraeclast and uncover the ancient secrets waiting for youunlimited character customizationcreate and customize hundreds of unique skill combinations from tradable itemized gems and our gigantic passive skill tree combine skill gems support gems and trigger gems to create your own unique combination of power defense and destructiondeadly missionsthe forsaken masters each have their own style of mission and each of these missions has many variations as you explore deeper into wraeclast the pool of available variations increases to challenge you in new ways all of the missions and their variations can occur anywhere in the game including within endgame mapsdressed to killpath of exile is all about items find collect and trade magic rare and unique items with arcane properties then customize your character build around the deadliest combinations you possessbrutal competitive playbattle in pvp tournaments seasons and capture the flag events for worldwide recognition compete in daily leagues and race events that run as separate game worlds with their own ladders and economies to win valuable prizescustomise your hideoutin their extensive travels throughout wraeclast the forsaken masters have discovered ideal locations for an exile to use as their own secret hideout once youve earned a masters trust you may be taken to a hideout where you can create your own personalised town masters residing in your hideout offer you daily missions and train you in advanced crafting options use your hideout as a quiet place to craft after battle or expand it and use it as a personalised guild hall with hundreds of decorationsfairtoplay never paytowin were committed to creating a fair playing field for all players you cannot gain gameplay advantage by spending real money in path of exile"
"8","war thunder is the most comprehensive freetoplay crossplatform mmo military game for windows linux mac playstation and xbox one dedicated to aviation armoured vehicles and naval craft from world war ii and the cold war join now and take part in major battles on land in the air and at sea fighting with millions of players from all over the world in an everevolving environmentin war thunder aircraft attack helicopters ground forces and naval ships collaborate in realistic competitive battles you can choose from over  vehicles and an extensive variety of combat situations many of which are exclusive you can find yourself blasting your pursuers from a bomber turret defending your teammates on the ground from an air raid with antiaircraft guns shooting down enemy planes with a firestorm from multiple rocket launchers or trying to sink an enemy warship with a torpedo from a fast attack boatfeatures includeseamless crossplatform gameplay between windows pc linux mac playstation with xbox one users being included in pc battles  everyone on the same serverover  highly detailed aircraft helicopters tanks warships and other combat vehicles crafted carefully from historical documents and surviving sources maps representing the main historical battle theatersintense pvp experiences in fullscale combat missions at various difficulty settings for all play styles and degrees of experiencerich pve content including dynamic historical campaigns and solo missionsregular content updates including new vehicles maps missions and nationsastonishing graphics authentic sound effects and beautiful music creating an atmosphere to fully immerse yourself increate custom content for war thunder and share it on war thunder live with the prospect of earning real money through the revenue share partner system"
"9",NA
"10","the most fun you can have online  pc gameris now free theres no catch play as much as you want as long as you likethe most highlyrated free game of all time one of the most popular online action games of all time team fortress  delivers constant free updatesnew game modes maps equipment and most importantly hats nine distinct classes provide a broad range of tactical abilities and personalities and lend themselves to a variety of player skillsnew to tf dont sweat it no matter what your style and experience weve got a character for you detailed training and offline practice modes will help you hone your skills before jumping into one of tfs many game modes including capture the flag control point payload arena king of the hill and moremake a character your own there are hundreds of weapons hats and more to collect craft buy and trade tweak your favorite class to suit your gameplay style and personal taste you dont need to pay to winvirtually all of the items in the mann co store can also be found ingame"
"11","over  historic naval vessels are yours to command in world of warships the ultimate freetoplay mmo action experience fight for naval supremacy in a variety of ships  fire a battleships big guns sneak in with a destroyer charge with a cruiser or darken the skies with carrier squadrons strategize then strikeworld of warships lets you experience epic naval combat like never before assemble and customize a fleet of gorgeously detailed ships and bring them into a variety of realistic battle scenarios across beautifully rendered real world locales jump into a random skirmish for a quick pvp clash team up with friends for a challenging pve scenario battle or put your skills to the test in ranked battles if youre looking for a real war get your clan action on develop your clan earn extras climb to the top of the clan league and be the best on the serveraugment your fleet with a captains bounty of customization options enhanced equipment modifications camouflage flags and more recruit a commander and use their inherent skills on your favorite ship to improve crew performance and ship survivability world of warships offers an incredible freetoplay actionstrategy challenge think you can handle it download and play todayfeaturesover  wwi and wwii vessels from the most powerful naval nations different types of ships destroyers cruisers battleships and aircraft carriers  unique battle locations from tropical waters to icy northern scenery variable weather rain snow and fog can influence the course of battle unique battle type scenarios save forts escort support vessels and rescue survivors freetowin with equal access to all gameplay features commanders to hire and train they will suit your playstyle clan functionality team up with friends outstanding graphics intuitive customizable controls daily containers and combat missions complete them all to receive your reward"
"12",NA
"13","take on duelists around the world with yugioh duel links starstudded lineup includes yugi kaiba joey mai and more voices from the anime heighten the dueling experience intuitive controls for beginners the depth to satisfy yugioh veterans signature monsters with stunning d animations build your ultimate deck and aim for the topstep into a world that crosses dimensions and connects all duelists in duel world any location transforms into a duel field where heated duels unfold japanese text can only be selected if you started the game in japan japanese voices are not availablefeaturesduelsthe yugioh tcg trading card game can be played digitally with newly designed intuitive controls optimized for your personal computer also signature monsters like dark magician and blueeyes white dragon make their appearance with dynamic visualssingle campaign duel worldduel as your favorite characters from the yugioh world and complete stage missions to earn various rewardsnew cards can be obtained from the shop duelistschallenge yugi kaiba joey mai and other legendary duelists complete specific missions to unlock and these charactersearn skills and rewards by leveling up your favorite charactersonline pvpwith yugioh duel links engage in heated duels anytime and anywhere against players around the world climb through the rankings and claim the title of king of gamesdecksbuild your very own deck with cards you collect ingame and take on opponentsstay tuned for future card additionsabout yugiohyugioh is a popular manga created by kazuki takahashi that was serialized in shueisha incs weekly shonen jump from  konami digital entertainment co ltd provides a trading card game tcg and video games based on the yugioh anime series created from the original manga that are enjoyed around the world"
"14","join  million players in paladins the freetoplay fantasy teambased shooter sensation wield guns and magic as a legendary champion of the realm customizing your core set of abilities to play exactly how you want to playpaladins is set in a vibrant fantasy world and features a diverse cast of champions ranging from sharpshooting humans to mechriding goblins mystical elves and jetpackclad dragons each champion brings a unique set of abilities to the battlefield and new champions are regularly added to paladins keeping the game exciting paladins is completely freetoplay anything that affects gameplay can be unlocked simply by playing with cosmetic items available for purchase no matter what your playstyle is youll find it in paladins with paladins deckbuilding system you can become an iron sights sniper a grenadeslinging explosives expert or a track star with an assault rifle  all as the same champion choose from dozens of cards to customize your abilities and make each champion your ownancient goddess interstellar bounty hunter cutthroat pirate frost giant you can be all of these and more in paladins choose from hundreds of skins already available in paladins or find a new favorite in each update"
"15","enter the battleground of the godsjoin the millions of smite players competing in the freetoplay battleground of the gods smite is the multiplayer online battle arena for players of every skill levelwith a growing roster of more than  gods smite features recognizable icons from global mythology launch lightning bolts as zeus assassinate from the shadows as loki or charge into battle as the mighty monkey king sun wukong smite has competition for everyone enter the arena the perfect game mode for players hungry for fastpaced battles looking for a more strategic experience conquest is smites premiere competitive mode crush the opposing gods and slay their titan for a triumphant victorytest your divine skills against the best of the best smite players in ranked climb the ladder from bronze to masters and claim your place at the top assemble a team and enter the world of smite esports power your way through and compete on the main stage to become a world champion"
"16","brawlhalla an eternal battle arena where the greatest warriors in history brawl to prove whos the best that ever was is or will be every match is an epic test of skill speed and strength and every victory brings additional glory and bragging rights to the winnersthese slugfests are salted with powerful weapons and gadgets fighters scramble to grab swords axes hammers blasters rocket lances and more every weapon changes your play style and your options gadgets like mines bombs and spiked spheres add even more danger into the mix letting fighters change the course of battle with a well timedthrow or carefully laid trapbrawlhalla is a free to play d platform fighting game featuring both online and local singleplayer and multiplayer   online ranked v  a personal test of skill where you match up against a single opponent to claim untold levels of personal glory in brawlhalla online ranked v  bolster your ranks with a friend to prove your mettle wit and teamwork in frenetic v battles  player online free for all  ranked or casual matches where four fighters enter but only one can win  player v  ffa  because the only thing better than four legends vying for bragging rights is eight legends vying for bragging rights local free for all  up to  players can play in free for all mode on one computer  perfect for friendly faceoffs local custom teams  teamup on your local machine with up to four players or bots for livingroom level mayhemlocal single player tournament  square off against bots in a three game tournament series perfect for warmups or score grindersalternate game modes  brawlball bombsketball and more provide casual party game just for fun alternate game modes with completely different objectives and just as much competition the training room  practice combos and setups inside the training room look at frame data hitboxes hurtboxes and sharpen your skills for use how we do free to playbrawlhalla will always be  free to play with no paytowin advantages and no ingame purchases to keep you from the action everything you can buy with real money is cosmetic such as character skins podiums and ko effects and none of them effect gameplay the legend rotation of eight free to play characters changes every week and you can earn gold to unlock more legends by playing any online game mode you can also check out our all legends pack that immediately unlocks every character weve ever made and ever will make forever heres what you can expect from brawlhallaweekly patches and updates online custom ranked and local play modesover  legends to chose from and a free  character weekly rotation unlockable with gold earned through playing the game loads of stages to fight onunique signature moves weapon combinations and stats for each characterranked seasons every three months with seasonal rewards for playing ranked  a constant stream of new features balance tweaks and legends to make the game better and betterexcited devs active everywhere eagerly listening to what you thinkour eternal thanks youre our favoritedevelopment roadmaprecently addedmajor gameplay improvements  balance  new legends dashingnetworking improvementsadvancement systemlarge team mode v clan supportsoon more weaponsmore mapsmore legendsongoing gameplay and feature improvementslater full player profile and statistics novelty itemsofficial crew battle support  teams clans crews guilds and bands of brawlhallans can challenge one another in crew battles to claim which crew has the most powerful contenders even more mapseven more legendsongoing gameplay improvements expanded clan supportbut all of this will change based on what you tell us were always listening to community feedback and value what players are telling us throughout early access the brawlhalla community helped steer the direction of development multiple times to make brawlhalla the best it can be that will remain the same as we continue to improve expand and adjust brawlhalla based on community feedback postlaunch"
"17","world of tanks blitz is a crossplatform freetoplay teambased mmo action game dedicated to fierce tank combat throw yourself into intense battles against steam players and challenge gamers on mobile mac and windows   control and upgrade over  legendary armored vehicles across  diverse classes  master your tactics on over a dozen maps  join up with your friends in a platoon to reap ingame bonuses and rewards  and complete battle missions to truly test your skillsfeaturesover  iconic vehicles from germany japan france the uk usa ussr and china different vehicles classes including light tanks medium tanks heavy tanks and tank destroyersstrategic vs online multiplayer gameplay  unique battle arenasingame chat functionalityinnovative crew upgrade systemcrossplatform gameplayconstant graphical enhancements and updates as well as optimization for various platformsreallife physics to create authentic tank movement and damage mechanicsdetailed tutorialsability to invite your friends to play online ingame achievementsfreetoplay with equal access to ingame elements for paying and nonpaying playerseasy to learn intuitive controlsbattle missions that open up fresh personalized challenges of varying difficulties and enable players to earn bonuses and achievementsclan functionality allowing players to unite in their pursuit of victorytraining rooms that allow you to team up with friends to master game maps and tacticsto learn how and what we use your personal data for read our privacy policy "
